epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.57842,2.10957,2.73254,1.27722,0.00813,0.90703,0.04022,0.02134,1.56669,3.22475,1.04177,0.000651515,0.000651515,0.000651515
2,14.5936,1.65131,1.50094,1.0573,0.94041,0.39363,0.7684,0.4017,1.53526,2.17575,1.08889,0.00127468,0.00127468,0.00127468
3,22.3056,1.67481,1.38885,1.06453,0.82909,0.78099,0.86256,0.46124,1.47735,1.40701,1.00497,0.00185385,0.00185385,0.00185385
4,27.2507,1.61087,1.2448,1.03287,0.84922,0.86168,0.91243,0.52361,1.4264,1.04215,1.03933,0.001802,0.001802,0.001802
5,32.228,1.5617,1.14812,1.00705,0.79838,0.79916,0.85202,0.47992,1.4663,1.06334,1.02959,0.001736,0.001736,0.001736
6,37.0991,1.48121,1.06487,0.9915,0.92974,0.87019,0.94235,0.57383,1.35215,0.92507,1.0131,0.00167,0.00167,0.00167
7,41.9792,1.52452,1.03117,0.99354,0.88096,0.89342,0.94328,0.55945,1.40451,0.90737,1.02186,0.001604,0.001604,0.001604
8,46.8434,1.44193,0.94813,0.9749,0.9122,0.85034,0.93993,0.53034,1.412,0.90938,0.99931,0.001538,0.001538,0.001538
9,51.6689,1.39911,0.90908,0.95921,0.92187,0.8829,0.94976,0.58429,1.3175,0.86901,0.98032,0.001472,0.001472,0.001472
10,56.5193,1.39776,0.87694,0.97287,0.93601,0.90476,0.96704,0.61521,1.2996,0.76764,0.97944,0.001406,0.001406,0.001406
11,61.4058,1.36002,0.83993,0.93914,0.93847,0.89116,0.96362,0.57399,1.38757,0.79846,0.98086,0.00134,0.00134,0.00134
12,66.3408,1.33878,0.80825,0.93963,0.93377,0.89513,0.96909,0.62713,1.27011,0.72113,0.97396,0.001274,0.001274,0.001274
13,71.295,1.35083,0.81102,0.94362,0.92691,0.8915,0.96242,0.60878,1.32609,0.74734,0.98006,0.001208,0.001208,0.001208
14,76.1971,1.33139,0.78662,0.95055,0.91562,0.88579,0.94397,0.56554,1.41642,0.76843,0.99181,0.001142,0.001142,0.001142
15,81.1196,1.34128,0.78378,0.94784,0.93625,0.90703,0.96441,0.61775,1.27235,0.74432,0.96286,0.001076,0.001076,0.001076
16,86.0262,1.29319,0.76474,0.93962,0.94388,0.91535,0.9709,0.6449,1.24755,0.69324,0.96396,0.00101,0.00101,0.00101
17,90.9367,1.26981,0.74317,0.9374,0.92706,0.87982,0.9527,0.61145,1.30197,0.74636,0.97317,0.000944,0.000944,0.000944
18,95.8802,1.31879,0.74947,0.93196,0.93659,0.93773,0.97732,0.666,1.19319,0.67812,0.948,0.000878,0.000878,0.000878
19,100.869,1.30118,0.73235,0.9347,0.93502,0.91356,0.96986,0.65818,1.15816,0.66221,0.9425,0.000812,0.000812,0.000812
20,105.808,1.2667,0.71545,0.9236,0.96181,0.9138,0.97287,0.64154,1.22039,0.66087,0.95734,0.000746,0.000746,0.000746
21,112.055,1.21223,0.70468,0.9309,0.93206,0.92063,0.96766,0.63012,1.22442,0.68225,0.95269,0.00068,0.00068,0.00068
22,116.969,1.20229,0.69877,0.92453,0.92723,0.93878,0.97422,0.66301,1.18516,0.65993,0.93503,0.000614,0.000614,0.000614
23,121.876,1.20025,0.68688,0.92463,0.91647,0.92054,0.96748,0.65368,1.20497,0.6704,0.94977,0.000548,0.000548,0.000548
